,ID expérience,Etat expérience,Statut de l'expérience,Date de publication,Titre,Description,Posté comme,Ressenti usager,Code INSEE Département usager,Intitulé département usager,Intitulé région usager,Code INSEE Région usager,Pays,Intitulé Typologie 1,Code Postal typologie 1,Pays Typologie  1,Canaux Typologie 1,Intitulé Typologie 2,Code Postal typologie 2,Pays Typologie 2,Canaux Typologie 2,Intitulé Typologie 3,Code Postal typologie 3,Pays Typologie 3,Canaux Typologie 3,Hors structure,ID structure 1,Intitulé structure 1,Evaluation utile réponse structure 1 par visiteurs,Evaluation inutile réponse structure 1 par visiteurs,Evaluation  réponse structure 1 par auteur,ID structure 2,Intitulé structure 2,ID structure 3,Intitulé structure  3,Accessibilité,Information/Explication,Relation,Réactivité,Simplicité/Complexité,Expériences Similaires,Amélioration de service à considérer,Action,Date action réalisée,Date action engagée,Tags Métiers,eval,sentiment_eval
10,278182,Traitées,Expérience avec réponse,17/01/2020 18:07,"Voxusagers, la voix peut-être, mais pas l'écrit...","Bonjour,Je suis déçu. J'ai lu la phrase suivante dans le mail reçu de la Carsat R.A. pour m'indiquer la mise à disposition du site Voxusagers.gouv.fr : ""chacune de vos histoires auront une réponse"".J'ai quand même suivi le lien contenu dans le mail pour venir visiter le site où j'ai pu lire la phrase suivante : ""Lintégralité des expériences sont analysées"".J'aurai apprécié de la part d'un site ""...gouv.fr"" un peu plus de sérieux, une meilleure connaissance de la langue française et un peu plus d'attention au texte avant édition.L'idée de ce site reste très bonne à mon sens, et j'ai cru comprendre que ce dernier n'était encore qu'en phase de test, alors il est encore temps d'améliorer grammaire et syntaxe.Cordialement,",La personne concernée,Neutre,,,,,France,Services Publics +,,,Démarche en ligne,,,,,,,,,Non,ynQrWBNF9j,Services Publics +,0,2,,,,,,Négatif,,,,,0,Non,,,,,1,Négatif
11,2884501,A traiter,Expérience en attente de réponse,27/05/2022 18:46,Ministère de lEurope et des affaires étrangères,"Résidant au Japon à plus de deux heures de mon bureau de vote et travaillant le dimanche, jai particulièrement apprécié le vote en ligne. 

Le système est simple, très clair, rapide et à part une connexion biométrique, via empreinte digital ou reconnaissance faciale, je ne vois pas comment il pourrait être amélioré. 

Je souhaite vivement que ce système devienne systématique pour toutes les élections, y compris lélection présidentielle.",La personne concernée,Positif,,,,,Japon,Réseau consulaire,,,Démarche en ligne,,,,,,,,,Non,hcxcV5NcXy,Direction des Français à l'étranger et de l'administration consulaire,0,0,,,,,,Positif,,,,Positif,1,Non,,,,,4,Positif
12,271061,A traiter,Expérience en attente de réponse,02/10/2020 13:27,Facile dopposer un arrêté Municipal pour verbaliser ...,"De passage, pour une réunion de travail, à Montpellier, jai eu la désagréable surprise de ne pas retrouver mon véhicule que javais garé à un endroit qui ne comportait aucun panneau, ni marquage au sol signalant que le stationnement était gênant, interdit ... Jai laissé ma voiture dans une file de voitures toutes bien garées ; autant de voitures emportées par une « ;dépanneuse ;» vers la fourrière, encadrée par deux policiers municipaux. Au passage, je salue la gentillesse et le professionnalisme du chauffeur du véhicule de la fourrière et des 2 policiers ! Ce qui ma choqué, cest que ce quon leur fait faire relève de la mascarade ! Sil vous plaît Messieurs les responsables des services de la Police Municipale, faite poser au moins panneau « ;stationnement gênant ;» ou un marquage au sol, une bande jaune. Si cela avait été le cas, jamais je naurais laissé ma voiture à cet endroit, comment aurais-je pu connaître votre arrêté 2018 qui interdit le stationnement hors des emplacements matérialisés au sol ? Cest « ;petit ;», facile de laisser les gens se garer et de faire de largent facile sur des personnes qui ne sont pas des dangers en puissance, ni des voyous ...",La personne concernée,Négatif,,,,,France,,,,,,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,,Négatif,Négatif,,,0,Non,,,,,1,Négatif
13,2870207,A traiter,Expérience en attente de réponse,24/05/2022 20:34,Signalement d'une fraude à la carte bancaire (Perceval) (Service en ligne),"L'utilisation du site a été très simple et ordonnée, le temps passé a été amplement inférieure à mes attentes. 
Je remercie toute l'équipe Perceval et Services Public. 
Cordialement.",La personne concernée,Positif,75.0,Paris,Île-de-France,11.0,France,,75013.0,,Démarche en ligne,Service en ligne Perceval,75013.0,,Démarche en ligne,,,,,Oui,sxZshFsE9R,Hors-structures,0,1,,,,,,,,,Positif,Positif,2,Non,,,,,4,Positif
14,2910462,A traiter,Expérience en attente de réponse,14/06/2022 21:40,Vote par internet aux législatives - Francais de l'étranger,"En tant que Francaise de l'étranger, j'ai pu voter par internet aux législatives de 2022. Les démarches à faire étaient clairement expliquées et tout s'est bien passé. Je suis très satisfaite de ce service. C'est pour moi un grand progrès de pouvoir voter sans avoir à faire plusieurs heures de trajet.",La personne concernée,Positif,,,,,Allemagne,Réseau consulaire,,France,Démarche en ligne,,,,,,,,,Non,TagSJVysoc,Ambassade de France en Allemagne,0,0,,,,,,Positif,Positif,,,Positif,1,Non,,,,,4,Positif
15,3225188,A traiter,Expérience en attente de réponse,24/11/2022 00:40,Une efficacité redoutable !,Je suis impressionné de la facilité et de lefficacité de ce service de règlement des amendes forfaitaires !! Merci de nous adoucir ce moment douloureux et pénible de verser de l'argent en punition de ce forfait gravissime de dépassement de vitesse de 1km/h . Evidemment il faut une limite et là je l'ai franchie et j'en suis désolé ...,La personne concernée,Neutre,84.0,Vaucluse,Provence-Alpes-Côte d'Azur,93.0,France,ANTAI,,France,Démarche en ligne,,,,,,,,,Non,STR-906,ANTAI,0,0,,STR-906,ANTAI,,,Neutre,,,,Neutre,0,Non,,,,,4,Positif
16,392988,A traiter,Expérience en attente de réponse,31/12/2021 18:51,Consulat de NYC service passeports,"J'ai vainement essayé de naviguer le site me permettant de prendre rendez-vous pour un nouveau passeport.  J'ai 71 ans et ai beaucoup de mal à naviguer n'importe quel site à l'ordinateur!  J'ai finalement contacté le Consulat par téléphone.  Chaque personne à laquelle je me suis adressée a été parfaitement courtoise, aimable et gentille.  Pendant 3 semaines environ, j'ai téléphoné au Consulat une ou deux fois par semaine espérant qu'un créneau se serait libéré.  Lors de chacune de mes conversations, la personne à qui je m'adressais me présentait des excuses par rapport au fait qu'il n'y avait pas de rendez-vous disponible, et m'exhortait à ne pas me décourager.  Au bout d'une semaine , une personne charmante  m'a proposé de m'aider à prendre le rendez-vous à ma place.  Deux semaines plus tard, j'avais un rendez-vous.  Je ne peux imaginer ce que le Consulat aurait pu faire de plus pour moi .  Cette personne travaille à l'Accueil du Consulat de NYC.  Merci merci  !",La personne concernée,Positif,,,,,États-unis,Réseau consulaire,,,"Accueil,Démarche en ligne,Téléphone",,,,,,,,,Non,LITkCZxB1b,Consulat Général de France à New York,0,0,,,,,,Positif,,Positif,,Négatif,0,Non,,,,,4,Positif
17,399697,A traiter,Expérience en attente de réponse,22/12/2021 18:31,Augmentation du personnel consulaire,"Bonjour, lorsque je suis allé faire mon passeport au consulat de Montréal, jai pu me rendre compte
de la surcharge de travail qui incombe au préposé, et ainsi comprendre les délais qui me sont imposés.
Ici à Montréal, il y a un décalage certain entre le nombre dinscrits au consulat et la véritable population française desservie administrativement.
Il serait bon daugmenter le personnel, non en fonction du nombre dinscrits au consulat (pas du tout représentatif),
mais en fonction du nombre dopérations réellement effectuées auprès par tous les ressortissants français.",La personne concernée,Neutre,,,,,Canada,Réseau consulaire,,,Accueil,,,,,,,,,Non,XLo5INy6Ny,Consulat Général de France à Montréal,0,0,,,,,,,Positif,Positif,,,0,Non,,,,,2,Neutre
18,2884730,A traiter,Expérience en attente de réponse,30/05/2022 09:38,simple et efficace,"Voter aussi simplement qu'effectuer un achat en ligne pour s'éviter 3h de queue
afin d'accéder à une urne physique... Que demande le peuple ?
Merci et en espérant voir cette modalité généralisée !",La personne concernée,Positif,,,,,Allemagne,Réseau consulaire,,Allemagne,Démarche en ligne,,,,,,,,,Non,TagSJVysoc,Ambassade de France en Allemagne,0,0,,,,,,Positif,,,,Positif,0,Non,,,,,0,Négatif
19,442687,A traiter,Expérience en attente de réponse,01/12/2022 20:01,San Francisco,"Nous avons été ravis de tous les efforts fait par les consultats de Houston et Dallas.
Très peu d informations pour San Francisco . Heureusement nous avons gardé des contacts à Houston qui nous ont bien aidé.",La personne concernée,Neutre,,,,,États-unis,Réseau consulaire,,,,,,,,,,,,Non,NRsAKNhNpj,Consulat Général de France à San Francisco,0,0,,,,,,,Négatif,,,,0,Non,,,,,4,Positif
20,389215,A traiter,Expérience en attente de réponse,22/12/2021 19:34,Prise de rendez vous catastrophique pour démarches de base,"Depuis que nous vivons à Lisbonne, c'est à dire quasiment 5 ans, le système de prise de RDV pour des démarches simples (état civil), est tout bonnement calamiteux. 
Au téléphone (quand on arrive à avoir quelqu'un au bout du fil) on nous dit d'aller prendre RDV sur internet. Sur internet, quand il y a une place disponible, ce qui n'est le cas que une fois sur deux, c'est dans 6 mois. 
En insistant au téléphone ou en demandant une procédure urgente, on apprend que des créneaux sont rajoutés a certaines heures de la semaine, pour la semaine suivante. Il faut donc se précipiter à ce moment précis et croiser les doigt pour avoir un RDV.
Une fois le RDV obtenu, le traitement est correct, malgré le sentiment que bien des choses pourraient se faire à distance, et donc libérer du temps pour ce qui doit forcément se faire en présentiel. 
L'impression générale est que personne ne cherche à faire mieux, l'administration se contente du service minimum, qui est ma foi bien bas.",La personne concernée,Négatif,,,,,Portugal,Réseau consulaire,,,"Accueil,Démarche en ligne,Téléphone",,,,,,,,,Non,RdcZHcwOiR,Ambassade de France au Portugal,0,0,,,,,,Négatif,,,Négatif,Négatif,0,Non,,,,,1,Négatif
21,2885835,A traiter,Expérience en attente de réponse,29/05/2022 19:17,Super expérience !,"Facile, pratique, tout simplement génial !
Il faudrait généraliser le vote par internet et rendre le vote obligatoire.
Merci encore pour ces nouveaux outils qui nous simplifient la vie, BRAVO !",La personne concernée,Positif,,,,,Suisse,Réseau consulaire,,Suisse,"E-mail,Démarche en ligne",,,,,,,,,Non,hcxcV5NcXy,Direction des Français à l'étranger et de l'administration consulaire,0,0,,,,,,,,,,Positif,0,Non,,,,,4,Positif
22,3373748,A traiter,Expérience en attente de réponse,14/03/2023 06:04,demande subvention,"Bonjour,
Depuis quemlques années les demandes de subventions utilisent le CERFA 12156*5, y compris pour les demandes communales.
Ce dossier est bien lourd pour de petites associations, et combien de papier inutilement consommé.
La présentation du budget de l'association est peu adaptée à une petite association (160 membres pour la mienne). Par exemple dans les charges ne figure pas la part ""cotisations"" qui pourrait être codée 658, alors qu'elle figure dans les recettes, étrange.
Pour notre part nous nous y adaptons mais cela pourrait être mieux adapté.
Il semble que sur la version 6 il soit possible d'ajouter 658 sous ""Autres charges de gestion courantes"" que l'on pourrait donc détailler.
Sincères salutations",La personne concernée,Neutre,22.0,Côtes-d'Armor,Bretagne,53.0,France,,,,,Service-public.fr,,France,Démarche en ligne,,,,,Non,TqTX3ikI4Q,Service-public.fr,0,0,,sxZshFsE9R,Hors-structures,,,Neutre,,,,Neutre,0,Non,,,,Association,2,Neutre
23,476171,A traiter,Expérience en attente de réponse,12/02/2021 03:05,Bug dans l'application,"J'ai 1 point qui m'a été retiré en mars 2019 et 1 autre en juin 2019. Ces 2 points auraient dû m'être rendu (> 2 ans).
Après plusieurs réclamations par des canaux différents, je n'ai reçu ni réponse ni mes points.
Je suppose qu'un ou plusieurs bugs de l'application existent et que personne ne se donne la peine de contrôler.
J",La personne concernée,Neutre,,,,,France,Télépoint,,,Démarche en ligne,,,,,,,,,Non,Rru8YFGk2g,Télépoint,0,0,,,,,,Négatif,,,,Négatif,2,Non,,,,,0,Négatif
24,407364,A traiter,Expérience en attente de réponse,01/07/2022 05:52,Renouvelement de document,Suite au vol de mes documents CNI  j'ai dû refaire tout mes papiers d'identité . Je suis donc allé à Madrid avec un RDV en fin de matinée. Etant domiciliée à El Palmar Murcia et étant une personne âgée je trouve que c'est un trop long voyage et une grosse fatigue juste pour ça . Sinon tout le personel du consulat a été accueillant et compétent.,La personne concernée,Neutre,,,,,Espagne,Réseau consulaire,,,"Courrier,E-mail,Téléphone,Accueil",,,,,,,,,Non,gV01cwYpjN,Consulat Général de France à Madrid,0,0,,,,,,Négatif,,Positif,,,0,Non,,,,,2,Neutre
25,393788,A traiter,Expérience en attente de réponse,01/03/2022 13:19,Soirée de bienvenue en suisse,"J'ai eu l'occasion à 2 reprises de pouvoir assister à cette soirée organisée
conjointement par le Consulat de France basé à Genève et la CCI France.
Monsieur le Consul était également présent.
Cette soirée est particulièrement bien organisée, les intervenants sont tous des professionnels impliqués et qui transmettent leur expérience selon les thèmes choisis (fiscalité, éducation, travailler en Suisse ...).
C'est important en tant que Français résidant en Suisse de se savoir écouté, soutenu, accompagné grâce à des représentations françaises efficaces !
Merci.",La personne concernée,Positif,,,,,Suisse,Réseau consulaire,,,"E-mail,Réseaux Sociaux",,,,,,,,,Non,TRcgFeoNKN,Consulat Général de France à Genève,0,0,,,,,,Positif,,Positif,,,0,Non,,,,,4,Positif
26,388625,A traiter,Expérience en attente de réponse,22/12/2021 20:07,demande de rdv,"Le plus grand probleme est qu'il est quasi impossible de prendre rendez-vous au consulat. Avec le covid, un rdv est obligatoire, mais impossible d'en prendre sur le site car ils sont surchargés... de temps en temps on peut avoir de la chance et en obtenir un si on essaie toutes les heures et que l'on profite d'une annulation. Cela me parait inadmissible. La personne a l'accueil est désagréable. Par contre, le reste du personnel est top, serviable, agréable et efficace.",La personne concernée,Négatif,,,,,France,Réseau consulaire,,,"Démarche en ligne,Accueil",,,,,,,,,Non,yz8LL1k07m,Consulat Général de France à Milan,0,0,,,,,,Négatif,,Positif,,Négatif,0,Non,,,,,1,Négatif
27,3584177,A traiter,Expérience en attente de réponse,14/04/2023 16:13,délai très long pour réactivation du numero neph,"Suite a une annulation de permis de 6mois, je demande la réactivation de mon numéro neph que j'ai pourtant en ma possession, j'effectue bien les test et visites nécessaire 1 mois avant la date de fin de l'annulation.
A ce jour, 5 semaines se sont écoulé et toujours en attente. La j'ai eut 2 versions des services de l'ants, la première que le dossier passez prioritaire et que j'aurai une réponse dans la semaine, et la deuxième car ayant eut toujours aucune nouvelle je rappelle et on m'annonce que dans ma région le pas de calais que le traitement moyen a l'heure d'aujourd'hui est de plus de 120 jours donc faut compter pour mi juillet.
Certaine personne dont moi, ce sont des permis qui nous servent également pour nos emploi ( je suis conducteur poids lourds), comment peut on faire donc car aucun recours est possible.",La personne concernée,Neutre,62.0,Pas-de-Calais,Hauts-de-France,32.0,France,ANTS,62160.0,France,"Démarche en ligne,Téléphone",,,,,,,,,Non,a2Pn8Mcn4t,ANTS,0,0,,a2Pn8Mcn4t,ANTS,,,Négatif,Négatif,,Négatif,,4,Non,,,,Permis de conduire,1,Négatif
28,271301,A traiter,Expérience en attente de réponse,11/07/2019 13:34,LE PARCOURS DU COMBATTANT,"J'ai attendu dix mois pour savoir que les trimestres ""enfant"" ne comptaient pas pour prendre une retraite anticipée à 60 ans, notamment au titre de la carrière longue.Très déprimant quand on ne retrouve pas d'emploi.A l'issue de cette galère, Dieu merci, ma seconde demande au titre de l'inaptitude a été traitée en 3 mois . Merci.Depuis (à part quelques douleurs cervicales), c'est le bonheur !!Liberté, activités, amitiés, enfants grands et petits , restaurant (quand le budget le permet ).Globalement les contacts téléphoniques ont toujours été courtois et souvent efficaces.",La personne concernée,Positif,,,,,France,Carsat,,,"Démarche en ligne,Téléphone,Courrier,Accueil,Compte ou espace personnel",Carsat,,,"Démarche en ligne,Téléphone,Courrier,Accueil,Compte ou espace personnel",Carsat,,,"Démarche en ligne,Téléphone,Courrier,Accueil,Compte ou espace personnel",Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,,,Positif,Positif,,0,Non,,,,,4,Positif
29,394125,A traiter,Expérience en attente de réponse,01/03/2022 13:32,Acceuil et Informations,"Il n'y a jamais la possibilité d'avoir au moins quelqu'un au téléphone
pour une simple information sur l'avancement d'un dossiet ou autre.
Cela éviterait de faire déplacer les gens souvent pour juste un renseignement.",La personne concernée,Neutre,,,,,Sénégal,Ministère de lEurope et des Affaires étrangères (MEAE),,,Compte ou espace personnel,,,,,,,,,Non,hcxcV5NcXy,Direction des Français à l'étranger et de l'administration consulaire,0,0,,,,,,Négatif,Négatif,,,Négatif,0,Non,,,,,1,Négatif
30,271113,A traiter,Expérience en attente de réponse,17/01/2020 00:01,"recherche des sites ""clés"" ANTS, la CNIL etc","Je suis formatrice bénévole au sein d'une UTL. Pour aider les adhérents je démarre un cours sur les démarches administratives. Ce qui serait utile, me semble-t-il, pour les usagers c'est de pouvoir trouver facilement des sites partenaires comme la CNIL ou le site ANTS.On ne peut pas tout trouver sur le site service-public.fr et c'est bien dommage...",La personne concernée,Neutre,,,,,France,Service-public.fr,,,,,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,Négatif,Négatif,,,,0,Non,,,,,2,Neutre
31,390924,A traiter,Expérience en attente de réponse,01/10/2022 16:46,Perte du passeport et cni,"Rapide, efficace et simple quand vous apportez tous les documents requis pour le renouvellement.",La personne concernée,Positif,,,,,Mexique,Réseau consulaire,,,"Téléphone,Courrier,E-mail,Démarche en ligne",,,,,,,,,Non,L4BIc6AfY0,Consulat Général de France à Mexico,0,0,,,,,,Positif,,,Positif,Positif,0,Non,,,,,4,Positif
32,499694,A traiter,Expérience en attente de réponse,02/03/2022 19:51,Propositions d'amélioration de la restitution de l'observatoire e-démarchess,"Bonjour, j'utilise ce canal pour proposer quelques améliorations .
1) Je propose que pour l'observatoire  des e-démarches, le pourcentage puisse être précisé pour la facilité de compréhension et le langage clair car lorsqu'on arrive sur la page concernée et que nous voyons tout d'abord les smileys rouge et orange avec le nombre de sélections pour ces smileys, psychologiquement on se dit que beaucoup de personnes ont été pas satisfaites ou moyennement.
2) Serait-il envisageable de faire figurer dans le tableau de bord des e-démarches de l'observatoire, le critère ""perception sur la facilité/complexité de la démarche"" car la notation mentionnée dans le tableau de bord devrait être appréciée au regard de la complexité réelle de l'e-démarche ?
Merci de transmettre ce message à l'équipe concernée. Cordialement.",La personne concernée,Neutre,75.0,Paris,Île-de-France,11.0,France,Direction interministérielle du Numérique (DINUM),,,Démarche en ligne,,,,,,,,,Non,wfwuCSSMB6,Direction interministérielle du Numérique (DINUM),0,0,,,,,,,,,,Neutre,0,Non,,,,,2,Neutre
33,271128,A traiter,Expérience en attente de réponse,01/12/2020 16:14,déclaration impôt 2019,"J'ai commencé à faire ma déclaration d'impôt en ligne mais je n'avais pas de RIB, j'ai donc fait un dossier papier et déposé au impôt. Je constate que ma déclaration d'impôt n'a pas été prise en compte que puis je faire ?",La personne concernée,Négatif,,,,,France,DGFIP,,,"E-mail,Démarche en ligne",,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,,,,,,0,Non,,,,,1,Négatif
34,388602,A traiter,Expérience en attente de réponse,22/12/2021 17:53,Renouvellement de passeport et carte d'identite a l'etranger,J'habite a Edimbourg et devoir aller à Londres pour faire renouveler mes papiers d'identité alors que nous avons un Consulat ici n'a aucun sens. Les Francais.e.s en Ecosse doivent pouvoir accéder aux services dûs à tout expatrié dans notre pays de résidence et non pas devoir nous rendre en Angleterre. Merci de faire revenir les services administratifs à Edimbourg comme par le passé.,La personne concernée,Négatif,,,,,Royaume-uni,Réseau consulaire,,,"Accueil,E-mail",,,,,,,,,Non,UxV8t3S3UY,Consulat Général de France à Londres,0,0,,,,,,Négatif,,,,,1,Non,,,,,4,Positif
35,270985,A traiter,Expérience en attente de réponse,03/09/2020 19:15,Imprimer des documents sur son espace personnel de ASSURANCE RETRAITE FRANCE,"Bonjour,Je suis retraité depuis quelques années et résident permanent à Montréal au Québec (Canada) depuis plus de 25 ans.Je dois d'abord vous dire que même si j'ai une adresse courriel, je n'ai par contre aucun ordinateur personnel ni imprimante ni scanner; et de fait, j'utilise les ordinateurs d'un des services publics canadiens qui s'appelle SERVICE CANADA.Le problème est que, chaque fois que je vais sur mon espace personnel de Assurance retraite France et que je désire imprimer un document quelconque, que ce soit des relevés de paiements ou des attestations fiscales, et bien l'imprimante associée à ces ordinateurs ne réussit pas à imprimer la page au complet comme si les pages n'étaient pas de taille adaptée à ces ordinateurs canadiens...Par contre chaque fois que vais sur mes espaces personnels de mes assurances complémentaires, je n'ai aucun problème pour imprimer leurs documents, sur ces mêmes ordinateurs de service public canadien..Je vous remercie par avance d'identifier le problème et d'y apporter la solution.",La personne concernée,Négatif,,,,,France,CNAV,,,,Carsat,,,,,,,,Oui,sxZshFsE9R,Hors-structures,0,0,,,,,,,,,,Négatif,1,Non,,,,,1,Négatif
