Index_x,Adresse_complète,Auteur,Date_x,Note_x,Commentaire_x,lat,lng,Ville,Unnamed: 0,Description,Intitulé de la structure,desc,desc_clean,Index_y,Date_y,Note_y,Commentaire_y,subject_number,subject_name
9.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Mimi Le chat,il y a 2 ans,5.0,Tres bien reu,,,EPINAL,,,,,,,,,,,
10.0,Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL,Celine Cheval,il y a 2 ans,5.0,Vous tes juste tellement drles et vous parvenez dans un mme temps  faire passer vos messages de prvention Ne changez rien  ,,,EPINAL,,,,,,,,,,,
1.0,Gendarmerie Nationale 20bis Av de la liberté 15000 AURILLAC,genevieve brayat,il y a 8 mois,1.0,,,,AURILLAC,,,,,,,,,,,
2.0,Gendarmerie Nationale 20bis Av de la liberté 15000 AURILLAC,Grégory,il y a 8 mois,5.0,Trs bien renseign Merci,,,AURILLAC,,,,,,,,,,,
1.0,Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES,Alvin Poveda,il y a un an,1.0,Ne valide pas les procurations pour voter Inhabituel pour une brigade de gendarmerie Cest pourtant constitutionnelle,43.838,4.361,NIMES,131.0,Ne valide pas les procurations pour voter Inhabituel pour une brigade de gendarmerie c est pourtant constitutionnelle,,valide pas les procurations pour voter inhabituel pour une brigade gendarmerie est pourtant constitutionnelle,valid procur vot brigad,1.0,il y a un an,1.0,Ne valide pas les procurations pour voter Inhabituel pour une brigade de gendarmerie c est pourtant constitutionnelle,3.0,procuration
2.0,Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES,Carole Pencole,il y a un an,5.0,Appel pour tapage nocturne ce samedi soir  st hyppolyte du fort problme rgl en une grosse demiheure par lenvoi dune patrouille Bravo et merci  la personne efficace et comprhensive qui ma accueillie au standard  et ce malgr une extinction de voix et encore merci  la patrouille pour la rapidit de son intervention,43.838,4.361,NIMES,,,,,,,,,,,
3.0,Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES,Catarina Fabricante,il y a un an,2.0,Bonjour  Sils vous plat dans le Carr Sud le passage  pitons  ct du rondpoint o il y a Truffaut vers Cultura les gens nous laissent rarement passer parfois ils sarrtent pas de lautre ct quand ils nous voient arriver au ,43.838,4.361,NIMES,,,,,,,,,,,
4.0,Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES,Aurore Loubat,il y a un an,1.0,Des surimi c mec la,43.838,4.361,NIMES,,,,,,,,,,,
5.0,Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES,Audrey Guillot,il y a 2 ans,5.0,Pour une demandes de renseignements sur ce que javais droit ou pas de faire pour un litige je suis tomb sur un gendarme qui avait des notions juridiques et qui a pass 30 minutes  rpondre  mes questions Trs agrable a fait plaisir,43.838,4.361,NIMES,,,,,,,,,,,
6.0,Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES,Jack Pinocchio 73,il y a 2 ans,5.0,Frres darmes  accueil excellent,43.838,4.361,NIMES,,,,,,,,,,,
1.0,Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH,Wiktor Berg,il y a 9 mois,1.0,Attention  Attention  Les policiers de ce commissariat les fraudeurs ont mis une contravention pour le chauffeur dun montant de 1 500 EUR le lendemain ils lont augment  2 250 EUR sans aucune confirmation ils ont forc le chauffeur ,,,AUCH,,,,,,,,,,,
2.0,Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH,Adelio COSTA,il y a 9 mois,4.0,Ezzeeeeeeeeees,,,AUCH,,,,,,,,,,,
3.0,Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH,Nicolas Baur,il y a un an,1.0,2358 1re appel au 15 pour signaler un homme qui vient de tomber sur la route  alcoolis 30 minutes plus tard 2 eme appel au 15 qui nous transfert  la gendarmerie dAuch ou une trs gentil dame nous dit clairement de laisser cet homme ,,,AUCH,132.0,2358 1re appel au 15 pour signaler un homme qui vient de tomber sur la route  alcoolise 30 minutes plus tard 2 eme appel au 15 qui nous transfert  la gendarmerie dAuch ou une tres gentil dame nous dit clairement de laisser cet homme ,,appel pour signaler homme qui vient tomber sur route alcoolise minutes plus tard eme appel qui nous transfert gendarmerie dauch une tres gentil dame nous dit clairement laisser cet homme,appel signal vient tomb rout alcoolis eme appel gentil dam clair laiss,3.0,il y a un an,1.0,2358 1re appel au 15 pour signaler un homme qui vient de tomber sur la route  alcoolise 30 minutes plus tard 2 eme appel au 15 qui nous transfert  la gendarmerie dAuch ou une tres gentil dame nous dit clairement de laisser cet homme ,1.0,appel_intervention
4.0,Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH,Larisa Drăgușin,il y a 2 ans,1.0,,,,AUCH,,,,,,,,,,,
5.0,Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH,L Rigail,il y a 2 ans,5.0,,,,AUCH,,,,,,,,,,,
1.0,Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR,Louis Solesse,il y a 7 mois,5.0,N apprhendez pas d y aller   bon accueil  personnel professionnel et humain,,,COLMAR,,,,,,,,,,,
2.0,Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR,Franck,il y a 8 mois,5.0,Trs bon accueil tlphonique grand sens du service public rponse adapte  la situation motivant mon appel Ca fait plaisir davoir affaire  des gens professionnels et  lcoute,,,COLMAR,,,,,,,,,,,
3.0,Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR,Nordman Gabin,il y a 8 mois,1.0,,,,COLMAR,,,,,,,,,,,
4.0,Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR,Bryan Pfeifer,il y a 9 mois,5.0,Jai pas encore u l honneur de venir chez vous si se jour a arrive jespre que vous aurais des cellule mieux que le poste de police et des repart dne de votre tablissement,,,COLMAR,,,,,,,,,,,
5.0,Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR,marilyne jost,il y a 2 ans,5.0,,,,COLMAR,,,,,,,,,,,
1.0,Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER,Grégory,il y a un an,5.0,Oh Thierry ti est le saaannggg,,,LONS LE SAUNIER,,,,,,,,,,,
2.0,Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER,Tom ODWROT,il y a un an,5.0,Trs bien,,,LONS LE SAUNIER,,,,,,,,,,,
3.0,Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER,Antonin Lopes,il y a 2 ans,5.0,Super gendarme il sont super,,,LONS LE SAUNIER,,,,,,,,,,,
4.0,Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER,Maxime Delacroix,il y a 2 ans,1.0,Trs  dcevant ,,,LONS LE SAUNIER,,,,,,,,,,,
1.0,Gendarmerie Nationale 12 place de Verdun 81000 ALBI,Johnn Walter,il y a 7 mois,1.0,Pas sre,,,ALBI,,,,,,,,,,,
2.0,Gendarmerie Nationale 12 place de Verdun 81000 ALBI,Ersan Demiri,il y a 10 mois,1.0,Cellule de GAV trs sale fait exprience aujourdhui pas de drap matela et cellule sale je recommande pas du tout mais plus celle de valences,,,ALBI,,,,,,,,,,,
3.0,Gendarmerie Nationale 12 place de Verdun 81000 ALBI,Benoît Serré,il y a 2 ans,5.0,,,,ALBI,,,,,,,,,,,
1.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,Valentine FEUILLEBOIS,il y a 11 mois,2.0,Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers ,48.1147,-1.6794,RENNES,158.0,Apparemment pas possible de faire un depot de plainte,,apparemment pas possible faire depot plainte,apparent possibl depot,1.0,il y a 11 mois,2.0,Apparemment pas possible de faire un depot de plainte,1.0,appel_intervention
1.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,Valentine FEUILLEBOIS,il y a 11 mois,2.0,Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers ,48.1147,-1.6794,RENNES,158.0,Apparemment pas possible de faire un depot de plainte,,apparemment pas possible faire depot plainte,apparent possibl depot,1.0,il y a 11 mois,2.0,Apparemment pas possible de faire un depot de plainte,1.0,appel_intervention
1.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,Valentine FEUILLEBOIS,il y a 11 mois,2.0,Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers ,48.1147,-1.6794,RENNES,158.0,Apparemment pas possible de faire un depot de plainte,,apparemment pas possible faire depot plainte,apparent possibl depot,1.0,il y a 11 mois,2.0,Apparemment pas possible de faire un depot de plainte,1.0,appel_intervention
1.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,Valentine FEUILLEBOIS,il y a 11 mois,2.0,Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers ,48.1147,-1.6794,RENNES,158.0,Apparemment pas possible de faire un depot de plainte,,apparemment pas possible faire depot plainte,apparent possibl depot,1.0,il y a 11 mois,2.0,Apparemment pas possible de faire un depot de plainte,1.0,appel_intervention
2.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,lisa crepieux,il y a un an,3.0,Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant,48.1147,-1.6794,RENNES,159.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,,personnel gentil mais absolument pas mentionne sur internet que procuration est impossible sur place deplacer pour rien est quelque peu frustrant,personnel gentil absolu mention internet procur impossibl plac deplac frustr,2.0,il y a un an,3.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,-1.0,autre
2.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,lisa crepieux,il y a un an,3.0,Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant,48.1147,-1.6794,RENNES,159.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,,personnel gentil mais absolument pas mentionne sur internet que procuration est impossible sur place deplacer pour rien est quelque peu frustrant,personnel gentil absolu mention internet procur impossibl plac deplac frustr,2.0,il y a un an,3.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,-1.0,autre
2.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,lisa crepieux,il y a un an,3.0,Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant,48.1147,-1.6794,RENNES,159.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,,personnel gentil mais absolument pas mentionne sur internet que procuration est impossible sur place deplacer pour rien est quelque peu frustrant,personnel gentil absolu mention internet procur impossibl plac deplac frustr,2.0,il y a un an,3.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,-1.0,autre
2.0,Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES,lisa crepieux,il y a un an,3.0,Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien cest quelque peu frustrant,48.1147,-1.6794,RENNES,159.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,,personnel gentil mais absolument pas mentionne sur internet que procuration est impossible sur place deplacer pour rien est quelque peu frustrant,personnel gentil absolu mention internet procur impossibl plac deplac frustr,2.0,il y a un an,3.0,Personnel gentil mais absolument pas mentionne sur internet que la procuration est impossible sur place se deplacer pour rien c est quelque peu frustrant,-1.0,autre
